Player,Pos,G,MP,FGA,3PA,3P%
Ron Mercer,SG,39,13.2,5.4,0.2,0.286
Steve Smith,SG,71,13.1,4.1,1.5,0.402
Mo Williams,SG,57,13.5,5.3,0.7,0.256
Calvin Booth,C,71,17,4.1,0,0
Fred Jones,SG,81,18.6,3.8,1.1,0.303
Shammond Williams,PG,53,14.4,4.4,1.9,0.3
Rick Fox,SF,38,22.3,4.9,1.6,0.246
Robert Horry,PF,81,15.9,4.3,1.3,0.38
George Lynch,SF,78,21.8,4.8,1.8,0.309
Sasha Pavlović,SF,79,14.5,4.8,0.9,0.271
Brevin Knight,PG,56,18.5,4.4,0.1,0.25
Scott Williams,C,43,12.3,4.3,0.1,0.667
Othella Harrington,PF,56,15.6,3.6,0,0
Avery Johnson,PG,46,13.8,4.3,0.1,0
Maciej Lampe,C,21,10.7,4.2,0.2,0
Bo Outlaw,PF,82,19.6,3.8,0,0
Darius Songaila,PF,73,13.4,3.7,0,0
Michael Doleac,C,72,14.3,4.5,0,0
Matt Barnes,SF,38,19.1,3.6,0.3,0.154
Boris Diaw,SG,76,25.3,4.1,0.3,0.231
Kyle Korver,SF,74,11.9,4.4,2.8,0.391
Anthony Carter,PG,5,17.4,7.4,0.6,0
Brian Cook,C,35,12.6,4,0.1,0
Dale Davis,C,76,22.1,3.7,0,0
Milt Palacio,PG,59,20.5,5.1,0.4,0.154
Tony Massenburg,PF,59,13.4,3.7,0,0
Mike Sweetney,PF,42,11.8,3.3,0,0
Jake Tsakalidis,C,40,13.3,3.3,0,0
John Wallace,SF,37,9.9,3.9,0.4,0.385
Maurice Carter,SG,10,11,3.5,1.1,0.364
Jahidi White,C,62,14,3.1,0,0
Malik Allen,PF,45,13.7,4.4,0,0
Linton Johnson,SF,41,17.9,5,0.8,0.212
Kevin Ollie,PG,82,17.1,3.1,0.1,0.444
Mikki Moore,C,32,12.3,3.1,0,0
Žarko Čabarkapa,PF,49,11.6,4,0.7,0.188
Horace Grant,PF,55,20.1,4.1,0,0
Eric Piatkowski,SF,49,14.3,3.9,2.5,0.352
Corie Blount,PF,62,16.9,4.1,0,0
Lonny Baxter,PF,62,12.4,3.4,0,0.333
Donnell Harvey,PF,60,13.1,3.4,0.1,0
Devin Brown,SG,58,10.8,3.4,0.2,0.286
Ben Handlogten,C,17,10.1,2.8,0,0
Alan Henderson,PF,6,11.3,3.5,0,0
Chris Jefferies,SF,21,9.3,3.4,2,0.405
Ira Newble,SF,64,19.5,4.3,0.3,0.105
Bryon Russell,SF,72,13.1,3.4,1.6,0.384
Daniel Santiago,C,54,13.1,3,0,0
Danny Fortson,C,56,11.2,2.5,0,0
Frank Williams,PG,56,12.8,3.7,1.1,0.3
Željko Rebrača,C,24,11.4,3.2,0,0
Mateen Cleaves,PG,4,23,5.8,0.3,0
Jacque Vaughn,PG,71,17.9,3.9,0.3,0.15
David West,PF,71,13.1,3.2,0,0
Roger Mason,SG,26,12.6,3.8,1.5,0.333
Doug Overton,PG,61,16.9,4,0.4,0.13
Melvin Ely,PF,42,12.1,3.6,0,0
Zendon Hamilton,C,46,10.3,2.1,0,0
Shane Heal,PG,6,12,4,3,0.222
Glen Rice,SF,18,14.6,4.2,1.6,0.179
Curtis Borchardt,C,16,16.1,3.5,0.1,0
Mark Madsen,C,72,17.3,2.8,0.1,0
Qyntel Woods,SF,62,10.9,3.8,0.5,0.345
Moochie Norris,PG,66,12.8,3.3,0.9,0.345
Mamadou N'Diaye,C,28,13.1,2.5,0,0
Francisco Elson,C,62,14.1,3.2,0,0
Brandon Hunter,PF,36,11.3,3.2,0.1,0
Lindsey Hunter,SG,33,20,4.3,1.5,0.28
Jason Kapono,SF,41,10.4,3.1,1.1,0.477
Brian Scalabrine,PF,69,13.4,3.2,0.6,0.244
Ansu Sesay,SF,57,10.2,3.1,0.4,0.286
Chris Andersen,PF,71,14.5,2.9,0,0
Richie Frahm,SF,54,8.7,2.6,1.7,0.37
Sean Lampley,SF,10,6.3,2,0,0
Darrick Martin,PG,16,10.8,4.2,1.6,0.231
Scott Padgett,PF,58,9.4,2.9,1.1,0.431
Kevin Willis,C,48,7.8,3.1,0,0
J.R. Bremer,PG,36,12.3,4.4,2.1,0.257
Shawn Bradley,C,66,11.7,2.8,0,0
Mitchell Butler,SG,41,13.5,3,0.7,0.367
Jason Hart,PG,53,12.5,3,0.2,0.222
Zaza Pachulia,C,59,11.3,3,0,0
Andrew DeClercq,C,71,17.1,2.7,0,0
Steven Hunter,C,59,13.4,2.6,0,0
Desmond Penigar,PF,10,8.9,2.8,0,0
Samaki Walker,PF,33,12.7,3,0.1,0
Loren Woods,C,38,13.3,2.5,0,0
Greg Buckner,SG,53,13.3,3.3,0.8,0.273
Adonal Foyle,C,44,13,3,0,0
Boštjan Nachbar,SF,45,11.5,2.9,1.4,0.365
Zoran Planinić,SG,49,9.7,2.6,0.7,0.281
Rick Brunson,PG,40,10.3,2.6,0.6,0.478
Marcus Haislip,PF,31,8.5,2.4,0.1,0.5
Travis Hansen,SF,41,12.4,3.2,0.7,0.3
Eduardo Nájera,SF,58,12.4,2.8,0.1,0.5
Paul Shirley,PF,7,12.3,3.3,0.1,0
Joel Przybilla,C,17,20.4,2.9,0,0
Tom Gugliotta,PF,55,14.9,3.7,0.1,0.25
Wang Zhizhi,C,16,7.1,2.9,0.9,0.286
Michael Curry,SF,70,17.6,2.8,0.2,0.2
Derrick Dial,SG,9,9.6,3.1,1,0.222
Reggie Evans,PF,75,17.1,2.2,0,0
Jérôme Moïso,PF,35,11.9,2.4,0,0
Jamal Sampson,C,10,13,2.3,0,0
Chris Whitney,PG,16,11.6,2.8,1.1,0.444
Travis Best,PG,61,12.5,2.8,0.3,0.15
Torraye Braggs,PF,15,10.3,2.2,0,0
Brandon Armstrong,SG,56,7.8,3.1,0.9,0.365
