Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Tosan Evbuomwan,SF,28,0.35,5.2,15.8,10.2,12.9,1.8,1.5,13.4,19.1
Antonio Reeves,SG,44,0.52,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8
Kyle Lowry,PG,35,0.752,1.8,10,5.8,19.2,2.5,1.6,13.8,10.1
Reed Sheppard,PG,52,0.594,2.6,10.3,6.4,15.2,2.6,2.3,13.1,17.8
Herbert Jones,SF,20,0.419,3.6,9.6,6.5,13.8,2.8,1.3,15.6,14.6
AJ Johnson,SG,29,0.423,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4
Maxi Kleber,PF,34,0.51,4.4,11.7,8.1,8.3,0.7,2.3,17.9,8.7
Delon Wright,PG,40,0.557,4.9,6.5,5.7,15,2.7,1.8,13.4,11.3
Jericho Sims,C,53,0,12.9,22,17.6,6.4,0.8,2.8,30.1,7.6
Josh Okogie,SG,40,0.434,8,11.8,9.9,7.9,3.8,2.8,11.1,19.5
Jeff Dowtin Jr.,PG,41,0.304,2.1,9.1,5.5,19.6,1.9,1.9,5.7,18.6
Daniel Theis,C,38,0.287,7.4,21.5,14.2,13,1.4,3.1,14.7,11.6
Cory Joseph,PG,50,0.695,3,11.2,6.9,17,2.1,0.6,10,12.8
Zeke Nnaji,PF,57,0.369,6.3,9.8,8.1,4.6,2,5.6,8,12.2
Kessler Edwards,SF,40,0.4,4,16.3,10.3,9.1,1.5,2.8,10.2,11.1
Pat Connaughton,SG,41,0.458,3.6,15.6,9.8,15.8,0.7,1.7,11.2,15.6
Ajay Mitchell,SG,36,0.326,3.3,8.8,6.1,13.8,2,0.7,12.7,16.2
Brandon Ingram,SF,18,0.345,3,15.5,9.1,26.8,1.3,1.8,16.2,30.2
Jared McCain,SG,23,0.485,2.4,8.6,5.4,16.7,1.2,0,11,24.7
Cam Reddish,SF,33,0.5,3.3,9.1,6.3,4.8,2.8,1.6,10.2,8.8
Jae'Sean Tate,SF,52,0.311,8.9,12.4,10.6,10.5,2.2,1.1,11.5,13.3
Olivier-Maxence Prosper,PF,52,0.293,8.4,15,11.8,9.1,2.2,0.9,6.3,16.3
Jarred Vanderbilt,PF,36,0.264,13.6,21.5,17.6,9.4,3,1.6,17.5,12.5
Joel Embiid,C,19,0.244,6.8,24.5,15.3,25.6,1.2,3.1,13.7,34.2
Monte Morris,PG,45,0.441,2.4,10.5,6.5,18.1,1.7,0.5,9,18.1
Moritz Wagner,C,30,0.301,7.7,23.1,15,13.7,2.1,2,14.1,26.8
Malcolm Brogdon,PG,24,0.233,3.9,13,8.4,27.4,1.1,0.8,11.9,23.7
John Konchar,SG,46,0.681,7.1,21.4,14.3,8.8,2.5,2.3,14.5,8
Dillon Jones,SF,54,0.474,6,17.3,11.8,12.6,1.4,0.7,16.2,13.3
Dwight Powell,C,55,0.082,9.5,13.7,11.7,12.5,1.6,3.3,18.4,7.6
Jordan Goodwin,PG,29,0.472,8.1,14.9,11.6,10.5,2.7,1.9,14.9,14.1
Richaun Holmes,PF,31,0.022,12,22.5,17.2,12.1,0.8,3.9,11.3,14.7
Mouhamed Gueye,PF,33,0.474,8.8,20,14.3,6.6,2.5,5.7,7.3,15.7
